Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1068E+01 .9715E+00 .4841E-01 .7557E+00 .7072E+00
.8460E+03 .1062E+01 .9697E+00 .4826E-01 .7542E+00 .7060E+00
.8470E+03 .1038E+01 .9557E+00 .4754E-01 .7433E+00 .6958E+00
.8480E+03 .1037E+01 .9444E+00 .4669E-01 .7342E+00 .6875E+00
.8490E+03 .1008E+01 .9178E+00 .4525E-01 .7134E+00 .6681E+00
.8500E+03 .9648E+00 .8803E+00 .4331E-01 .6842E+00 .6409E+00
.8510E+03 .1028E+01 .9268E+00 .4532E-01 .7201E+00 .6747E+00
.8520E+03 .1018E+01 .9225E+00 .4505E-01 .7166E+00 .6716E+00
.8530E+03 .9748E+00 .8937E+00 .4366E-01 .6942E+00 .6506E+00
.8540E+03 .8458E+00 .7668E+00 .3724E-01 .5955E+00 .5583E+00
.8550E+03 .9234E+00 .8493E+00 .4132E-01 .6596E+00 .6183E+00
.8560E+03 .1012E+01 .9246E+00 .4478E-01 .7179E+00 .6731E+00
.8570E+03 .1030E+01 .9501E+00 .4601E-01 .7377E+00 .6916E+00
.8580E+03 .1024E+01 .9411E+00 .4541E-01 .7305E+00 .6851E+00
.8590E+03 .1023E+01 .9438E+00 .4548E-01 .7326E+00 .6871E+00
.8600E+03 .1023E+01 .9478E+00 .4561E-01 .7356E+00 .6900E+00
.8610E+03 .1018E+01 .9417E+00 .4518E-01 .7307E+00 .6856E+00
.8620E+03 .1033E+01 .9578E+00 .4587E-01 .7431E+00 .6973E+00
.8630E+03 .1058E+01 .9803E+00 .4683E-01 .7605E+00 .7137E+00
.8640E+03 .1005E+01 .9312E+00 .4437E-01 .7223E+00 .6779E+00
.8650E+03 .9955E+00 .9235E+00 .4390E-01 .7162E+00 .6723E+00
.8660E+03 .8951E+00 .8305E+00 .3938E-01 .6440E+00 .6046E+00
.8670E+03 .9340E+00 .8667E+00 .4100E-01 .6720E+00 .6310E+00
.8680E+03 .1016E+01 .9433E+00 .4451E-01 .7312E+00 .6867E+00
.8690E+03 .9949E+00 .9238E+00 .4348E-01 .7160E+00 .6725E+00
.8700E+03 .1023E+01 .9503E+00 .4462E-01 .7364E+00 .6918E+00
.8710E+03 .1009E+01 .9372E+00 .4389E-01 .7261E+00 .6823E+00
.8720E+03 .1005E+01 .9342E+00 .4365E-01 .7238E+00 .6801E+00
.8730E+03 .1003E+01 .9325E+00 .4346E-01 .7223E+00 .6789E+00
.8740E+03 .9914E+00 .9215E+00 .4284E-01 .7137E+00 .6709E+00
.8750E+03 .9715E+00 .9025E+00 .4184E-01 .6989E+00 .6570E+00
.8760E+03 .9820E+00 .9114E+00 .4213E-01 .7057E+00 .6635E+00
.8770E+03 .9915E+00 .9215E+00 .4251E-01 .7134E+00 .6709E+00
.8780E+03 .1003E+01 .9301E+00 .4276E-01 .7198E+00 .6771E+00
.8790E+03 .9875E+00 .9161E+00 .4202E-01 .7089E+00 .6669E+00
.8800E+03 .9662E+00 .8972E+00 .4105E-01 .6942E+00 .6532E+00
