Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1066E+01 .9705E+00 .4843E-01 .7630E+00 .7146E+00
.8460E+03 .1060E+01 .9687E+00 .4828E-01 .7616E+00 .7133E+00
.8470E+03 .1036E+01 .9547E+00 .4756E-01 .7505E+00 .7029E+00
.8480E+03 .1035E+01 .9434E+00 .4671E-01 .7414E+00 .6946E+00
.8490E+03 .1006E+01 .9168E+00 .4527E-01 .7204E+00 .6751E+00
.8500E+03 .9628E+00 .8794E+00 .4333E-01 .6909E+00 .6475E+00
.8510E+03 .1026E+01 .9260E+00 .4535E-01 .7272E+00 .6818E+00
.8520E+03 .1016E+01 .9216E+00 .4507E-01 .7237E+00 .6786E+00
.8530E+03 .9728E+00 .8927E+00 .4368E-01 .7010E+00 .6573E+00
.8540E+03 .8440E+00 .7661E+00 .3726E-01 .6014E+00 .5641E+00
.8550E+03 .9215E+00 .8484E+00 .4134E-01 .6660E+00 .6247E+00
.8560E+03 .1010E+01 .9237E+00 .4480E-01 .7249E+00 .6801E+00
.8570E+03 .1028E+01 .9490E+00 .4604E-01 .7448E+00 .6987E+00
.8580E+03 .1022E+01 .9401E+00 .4544E-01 .7376E+00 .6922E+00
.8590E+03 .1021E+01 .9427E+00 .4551E-01 .7396E+00 .6941E+00
.8600E+03 .1021E+01 .9467E+00 .4564E-01 .7427E+00 .6970E+00
.8610E+03 .1016E+01 .9406E+00 .4520E-01 .7378E+00 .6926E+00
.8620E+03 .1031E+01 .9566E+00 .4589E-01 .7503E+00 .7044E+00
.8630E+03 .1056E+01 .9792E+00 .4685E-01 .7678E+00 .7210E+00
.8640E+03 .1003E+01 .9301E+00 .4439E-01 .7292E+00 .6848E+00
.8650E+03 .9935E+00 .9224E+00 .4392E-01 .7231E+00 .6791E+00
.8660E+03 .8933E+00 .8295E+00 .3940E-01 .6501E+00 .6107E+00
.8670E+03 .9321E+00 .8657E+00 .4102E-01 .6784E+00 .6374E+00
.8680E+03 .1014E+01 .9421E+00 .4453E-01 .7382E+00 .6937E+00
.8690E+03 .9928E+00 .9227E+00 .4350E-01 .7229E+00 .6794E+00
.8700E+03 .1021E+01 .9491E+00 .4464E-01 .7435E+00 .6988E+00
.8710E+03 .1007E+01 .9360E+00 .4391E-01 .7331E+00 .6892E+00
.8720E+03 .1003E+01 .9331E+00 .4367E-01 .7307E+00 .6871E+00
.8730E+03 .1001E+01 .9314E+00 .4347E-01 .7292E+00 .6858E+00
.8740E+03 .9893E+00 .9204E+00 .4286E-01 .7206E+00 .6777E+00
.8750E+03 .9695E+00 .9014E+00 .4185E-01 .7056E+00 .6637E+00
.8760E+03 .9799E+00 .9103E+00 .4215E-01 .7124E+00 .6703E+00
.8770E+03 .9894E+00 .9204E+00 .4252E-01 .7202E+00 .6777E+00
.8780E+03 .1001E+01 .9290E+00 .4278E-01 .7268E+00 .6840E+00
.8790E+03 .9855E+00 .9150E+00 .4203E-01 .7158E+00 .6737E+00
.8800E+03 .9643E+00 .8961E+00 .4107E-01 .7009E+00 .6598E+00
