Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1028E+01 .9558E+00 .4943E-01 .9585E+00 .9091E+00
.8460E+03 .1022E+01 .9531E+00 .4927E-01 .9557E+00 .9065E+00
.8470E+03 .9990E+00 .9377E+00 .4853E-01 .9404E+00 .8918E+00
.8480E+03 .9980E+00 .9288E+00 .4767E-01 .9311E+00 .8834E+00
.8490E+03 .9701E+00 .9026E+00 .4620E-01 .9047E+00 .8585E+00
.8500E+03 .9284E+00 .8654E+00 .4422E-01 .8674E+00 .8231E+00
.8510E+03 .9890E+00 .9133E+00 .4630E-01 .9150E+00 .8687E+00
.8520E+03 .9795E+00 .9082E+00 .4601E-01 .9098E+00 .8638E+00
.8530E+03 .9380E+00 .8776E+00 .4458E-01 .8793E+00 .8347E+00
.8540E+03 .8138E+00 .7549E+00 .3804E-01 .7561E+00 .7180E+00
.8550E+03 .8886E+00 .8334E+00 .4218E-01 .8349E+00 .7927E+00
.8560E+03 .9734E+00 .9087E+00 .4572E-01 .9100E+00 .8642E+00
.8570E+03 .9915E+00 .9317E+00 .4696E-01 .9332E+00 .8862E+00
.8580E+03 .9856E+00 .9237E+00 .4635E-01 .9249E+00 .8786E+00
.8590E+03 .9845E+00 .9255E+00 .4641E-01 .9266E+00 .8802E+00
.8600E+03 .9847E+00 .9286E+00 .4653E-01 .9297E+00 .8832E+00
.8610E+03 .9798E+00 .9229E+00 .4609E-01 .9239E+00 .8778E+00
.8620E+03 .9944E+00 .9382E+00 .4678E-01 .9391E+00 .8923E+00
.8630E+03 .1018E+01 .9603E+00 .4775E-01 .9611E+00 .9134E+00
.8640E+03 .9668E+00 .9122E+00 .4524E-01 .9128E+00 .8676E+00
.8650E+03 .9579E+00 .9044E+00 .4476E-01 .9049E+00 .8602E+00
.8660E+03 .8613E+00 .8133E+00 .4014E-01 .8137E+00 .7735E+00
.8670E+03 .8987E+00 .8488E+00 .4179E-01 .8491E+00 .8073E+00
.8680E+03 .9778E+00 .9236E+00 .4536E-01 .9238E+00 .8785E+00
.8690E+03 .9573E+00 .9045E+00 .4431E-01 .9046E+00 .8603E+00
.8700E+03 .9845E+00 .9304E+00 .4546E-01 .9303E+00 .8849E+00
.8710E+03 .9712E+00 .9176E+00 .4472E-01 .9175E+00 .8727E+00
.8720E+03 .9675E+00 .9146E+00 .4447E-01 .9143E+00 .8699E+00
.8730E+03 .9655E+00 .9128E+00 .4427E-01 .9125E+00 .8682E+00
.8740E+03 .9539E+00 .9021E+00 .4364E-01 .9016E+00 .8580E+00
.8750E+03 .9348E+00 .8836E+00 .4262E-01 .8830E+00 .8404E+00
.8760E+03 .9449E+00 .8925E+00 .4292E-01 .8918E+00 .8488E+00
.8770E+03 .9540E+00 .9021E+00 .4329E-01 .9013E+00 .8580E+00
.8780E+03 .9654E+00 .9110E+00 .4355E-01 .9100E+00 .8664E+00
.8790E+03 .9503E+00 .8972E+00 .4279E-01 .8961E+00 .8533E+00
.8800E+03 .9298E+00 .8785E+00 .4181E-01 .8773E+00 .8355E+00
