Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1066E+01 .9705E+00 .4844E-01 .7633E+00 .7149E+00
.8460E+03 .1060E+01 .9687E+00 .4828E-01 .7618E+00 .7135E+00
.8470E+03 .1036E+01 .9546E+00 .4757E-01 .7507E+00 .7032E+00
.8480E+03 .1035E+01 .9434E+00 .4671E-01 .7416E+00 .6949E+00
.8490E+03 .1006E+01 .9168E+00 .4527E-01 .7206E+00 .6753E+00
.8500E+03 .9628E+00 .8794E+00 .4333E-01 .6911E+00 .6478E+00
.8510E+03 .1026E+01 .9260E+00 .4535E-01 .7274E+00 .6821E+00
.8520E+03 .1016E+01 .9216E+00 .4507E-01 .7239E+00 .6788E+00
.8530E+03 .9728E+00 .8927E+00 .4368E-01 .7012E+00 .6575E+00
.8540E+03 .8440E+00 .7661E+00 .3726E-01 .6016E+00 .5643E+00
.8550E+03 .9215E+00 .8484E+00 .4134E-01 .6662E+00 .6249E+00
.8560E+03 .1010E+01 .9236E+00 .4480E-01 .7251E+00 .6803E+00
.8570E+03 .1028E+01 .9490E+00 .4604E-01 .7450E+00 .6990E+00
.8580E+03 .1022E+01 .9400E+00 .4544E-01 .7379E+00 .6924E+00
.8590E+03 .1021E+01 .9427E+00 .4551E-01 .7399E+00 .6944E+00
.8600E+03 .1021E+01 .9466E+00 .4564E-01 .7429E+00 .6973E+00
.8610E+03 .1016E+01 .9406E+00 .4521E-01 .7380E+00 .6928E+00
.8620E+03 .1031E+01 .9566E+00 .4589E-01 .7505E+00 .7046E+00
.8630E+03 .1056E+01 .9791E+00 .4685E-01 .7681E+00 .7212E+00
.8640E+03 .1003E+01 .9301E+00 .4439E-01 .7295E+00 .6851E+00
.8650E+03 .9934E+00 .9223E+00 .4392E-01 .7233E+00 .6794E+00
.8660E+03 .8932E+00 .8294E+00 .3940E-01 .6504E+00 .6110E+00
.8670E+03 .9320E+00 .8657E+00 .4102E-01 .6787E+00 .6376E+00
.8680E+03 .1014E+01 .9421E+00 .4453E-01 .7385E+00 .6939E+00
.8690E+03 .9928E+00 .9227E+00 .4350E-01 .7231E+00 .6796E+00
.8700E+03 .1021E+01 .9491E+00 .4464E-01 .7437E+00 .6991E+00
.8710E+03 .1007E+01 .9360E+00 .4391E-01 .7334E+00 .6895E+00
.8720E+03 .1003E+01 .9331E+00 .4367E-01 .7310E+00 .6873E+00
.8730E+03 .1001E+01 .9313E+00 .4348E-01 .7295E+00 .6860E+00
.8740E+03 .9893E+00 .9204E+00 .4286E-01 .7208E+00 .6779E+00
.8750E+03 .9695E+00 .9014E+00 .4186E-01 .7058E+00 .6639E+00
.8760E+03 .9799E+00 .9103E+00 .4215E-01 .7127E+00 .6705E+00
.8770E+03 .9894E+00 .9204E+00 .4252E-01 .7205E+00 .6779E+00
.8780E+03 .1001E+01 .9289E+00 .4278E-01 .7270E+00 .6842E+00
.8790E+03 .9855E+00 .9150E+00 .4203E-01 .7160E+00 .6740E+00
.8800E+03 .9642E+00 .8961E+00 .4107E-01 .7011E+00 .6600E+00
