Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1068E+01 .9712E+00 .4840E-01 .7561E+00 .7077E+00
.8460E+03 .1062E+01 .9694E+00 .4825E-01 .7547E+00 .7064E+00
.8470E+03 .1038E+01 .9554E+00 .4753E-01 .7438E+00 .6962E+00
.8480E+03 .1037E+01 .9440E+00 .4668E-01 .7346E+00 .6880E+00
.8490E+03 .1008E+01 .9175E+00 .4524E-01 .7138E+00 .6686E+00
.8500E+03 .9644E+00 .8800E+00 .4330E-01 .6846E+00 .6413E+00
.8510E+03 .1027E+01 .9265E+00 .4532E-01 .7205E+00 .6752E+00
.8520E+03 .1018E+01 .9222E+00 .4504E-01 .7171E+00 .6720E+00
.8530E+03 .9744E+00 .8934E+00 .4365E-01 .6947E+00 .6510E+00
.8540E+03 .8454E+00 .7666E+00 .3724E-01 .5959E+00 .5586E+00
.8550E+03 .9230E+00 .8490E+00 .4131E-01 .6600E+00 .6187E+00
.8560E+03 .1011E+01 .9243E+00 .4477E-01 .7184E+00 .6736E+00
.8570E+03 .1030E+01 .9497E+00 .4601E-01 .7381E+00 .6921E+00
.8580E+03 .1024E+01 .9408E+00 .4540E-01 .7310E+00 .6856E+00
.8590E+03 .1023E+01 .9435E+00 .4547E-01 .7330E+00 .6876E+00
.8600E+03 .1023E+01 .9475E+00 .4560E-01 .7361E+00 .6905E+00
.8610E+03 .1018E+01 .9414E+00 .4517E-01 .7312E+00 .6860E+00
.8620E+03 .1033E+01 .9575E+00 .4586E-01 .7436E+00 .6977E+00
.8630E+03 .1057E+01 .9800E+00 .4682E-01 .7610E+00 .7142E+00
.8640E+03 .1004E+01 .9309E+00 .4436E-01 .7227E+00 .6784E+00
.8650E+03 .9951E+00 .9232E+00 .4389E-01 .7166E+00 .6727E+00
.8660E+03 .8947E+00 .8302E+00 .3937E-01 .6444E+00 .6050E+00
.8670E+03 .9336E+00 .8665E+00 .4099E-01 .6724E+00 .6314E+00
.8680E+03 .1016E+01 .9429E+00 .4450E-01 .7316E+00 .6872E+00
.8690E+03 .9945E+00 .9235E+00 .4347E-01 .7165E+00 .6730E+00
.8700E+03 .1023E+01 .9499E+00 .4461E-01 .7369E+00 .6922E+00
.8710E+03 .1009E+01 .9368E+00 .4388E-01 .7266E+00 .6827E+00
.8720E+03 .1005E+01 .9339E+00 .4364E-01 .7242E+00 .6806E+00
.8730E+03 .1003E+01 .9322E+00 .4345E-01 .7228E+00 .6793E+00
.8740E+03 .9909E+00 .9212E+00 .4283E-01 .7142E+00 .6713E+00
.8750E+03 .9711E+00 .9022E+00 .4183E-01 .6993E+00 .6575E+00
.8760E+03 .9815E+00 .9111E+00 .4212E-01 .7061E+00 .6640E+00
.8770E+03 .9910E+00 .9212E+00 .4250E-01 .7138E+00 .6713E+00
.8780E+03 .1003E+01 .9297E+00 .4275E-01 .7203E+00 .6775E+00
.8790E+03 .9871E+00 .9158E+00 .4201E-01 .7094E+00 .6674E+00
.8800E+03 .9658E+00 .8969E+00 .4105E-01 .6946E+00 .6536E+00
