Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1019E+01 .9488E+00 .4915E-01 .9636E+00 .9145E+00
.8460E+03 .1013E+01 .9460E+00 .4899E-01 .9608E+00 .9118E+00
.8470E+03 .9907E+00 .9307E+00 .4826E-01 .9453E+00 .8970E+00
.8480E+03 .9897E+00 .9220E+00 .4741E-01 .9361E+00 .8887E+00
.8490E+03 .9620E+00 .8960E+00 .4595E-01 .9096E+00 .8636E+00
.8500E+03 .9207E+00 .8591E+00 .4397E-01 .8720E+00 .8280E+00
.8510E+03 .9808E+00 .9067E+00 .4604E-01 .9199E+00 .8739E+00
.8520E+03 .9714E+00 .9015E+00 .4575E-01 .9147E+00 .8689E+00
.8530E+03 .9302E+00 .8711E+00 .4434E-01 .8839E+00 .8396E+00
.8540E+03 .8071E+00 .7494E+00 .3783E-01 .7601E+00 .7223E+00
.8550E+03 .8812E+00 .8272E+00 .4195E-01 .8392E+00 .7973E+00
.8560E+03 .9654E+00 .9019E+00 .4546E-01 .9148E+00 .8693E+00
.8570E+03 .9832E+00 .9248E+00 .4670E-01 .9380E+00 .8913E+00
.8580E+03 .9774E+00 .9168E+00 .4609E-01 .9298E+00 .8837E+00
.8590E+03 .9763E+00 .9185E+00 .4615E-01 .9315E+00 .8853E+00
.8600E+03 .9765E+00 .9216E+00 .4627E-01 .9345E+00 .8882E+00
.8610E+03 .9717E+00 .9160E+00 .4583E-01 .9287E+00 .8829E+00
.8620E+03 .9862E+00 .9311E+00 .4652E-01 .9440E+00 .8975E+00
.8630E+03 .1009E+01 .9531E+00 .4748E-01 .9661E+00 .9186E+00
.8640E+03 .9588E+00 .9053E+00 .4498E-01 .9175E+00 .8725E+00
.8650E+03 .9500E+00 .8976E+00 .4450E-01 .9096E+00 .8651E+00
.8660E+03 .8542E+00 .8071E+00 .3992E-01 .8179E+00 .7780E+00
.8670E+03 .8913E+00 .8424E+00 .4155E-01 .8534E+00 .8119E+00
.8680E+03 .9697E+00 .9167E+00 .4510E-01 .9286E+00 .8835E+00
.8690E+03 .9494E+00 .8977E+00 .4406E-01 .9093E+00 .8652E+00
.8700E+03 .9763E+00 .9233E+00 .4521E-01 .9351E+00 .8899E+00
.8710E+03 .9631E+00 .9107E+00 .4446E-01 .9222E+00 .8777E+00
.8720E+03 .9594E+00 .9077E+00 .4422E-01 .9191E+00 .8748E+00
.8730E+03 .9575E+00 .9059E+00 .4402E-01 .9172E+00 .8732E+00
.8740E+03 .9460E+00 .8952E+00 .4339E-01 .9063E+00 .8629E+00
.8750E+03 .9271E+00 .8769E+00 .4237E-01 .8876E+00 .8452E+00
.8760E+03 .9370E+00 .8857E+00 .4267E-01 .8964E+00 .8537E+00
.8770E+03 .9461E+00 .8953E+00 .4305E-01 .9059E+00 .8629E+00
.8780E+03 .9574E+00 .9041E+00 .4330E-01 .9147E+00 .8714E+00
.8790E+03 .9424E+00 .8904E+00 .4255E-01 .9007E+00 .8582E+00
.8800E+03 .9220E+00 .8718E+00 .4157E-01 .8819E+00 .8403E+00
