Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1065E+01 .9702E+00 .4848E-01 .7693E+00 .7208E+00
.8460E+03 .1059E+01 .9683E+00 .4832E-01 .7678E+00 .7195E+00
.8470E+03 .1035E+01 .9542E+00 .4760E-01 .7566E+00 .7090E+00
.8480E+03 .1034E+01 .9431E+00 .4675E-01 .7474E+00 .7007E+00
.8490E+03 .1005E+01 .9165E+00 .4531E-01 .7263E+00 .6809E+00
.8500E+03 .9617E+00 .8791E+00 .4337E-01 .6965E+00 .6532E+00
.8510E+03 .1024E+01 .9257E+00 .4539E-01 .7332E+00 .6878E+00
.8520E+03 .1015E+01 .9213E+00 .4511E-01 .7296E+00 .6845E+00
.8530E+03 .9717E+00 .8923E+00 .4372E-01 .7067E+00 .6630E+00
.8540E+03 .8430E+00 .7659E+00 .3729E-01 .6063E+00 .5690E+00
.8550E+03 .9204E+00 .8480E+00 .4138E-01 .6714E+00 .6301E+00
.8560E+03 .1008E+01 .9233E+00 .4484E-01 .7308E+00 .6860E+00
.8570E+03 .1027E+01 .9485E+00 .4608E-01 .7508E+00 .7047E+00
.8580E+03 .1021E+01 .9397E+00 .4548E-01 .7436E+00 .6982E+00
.8590E+03 .1020E+01 .9423E+00 .4554E-01 .7456E+00 .7001E+00
.8600E+03 .1020E+01 .9462E+00 .4567E-01 .7487E+00 .7030E+00
.8610E+03 .1015E+01 .9401E+00 .4524E-01 .7437E+00 .6985E+00
.8620E+03 .1030E+01 .9562E+00 .4593E-01 .7563E+00 .7104E+00
.8630E+03 .1054E+01 .9787E+00 .4689E-01 .7740E+00 .7271E+00
.8640E+03 .1001E+01 .9296E+00 .4443E-01 .7351E+00 .6907E+00
.8650E+03 .9923E+00 .9219E+00 .4396E-01 .7289E+00 .6849E+00
.8660E+03 .8922E+00 .8290E+00 .3943E-01 .6554E+00 .6160E+00
.8670E+03 .9310E+00 .8653E+00 .4105E-01 .6839E+00 .6429E+00
.8680E+03 .1013E+01 .9416E+00 .4456E-01 .7442E+00 .6996E+00
.8690E+03 .9917E+00 .9222E+00 .4354E-01 .7287E+00 .6852E+00
.8700E+03 .1020E+01 .9486E+00 .4467E-01 .7495E+00 .7048E+00
.8710E+03 .1006E+01 .9355E+00 .4394E-01 .7390E+00 .6951E+00
.8720E+03 .1002E+01 .9326E+00 .4370E-01 .7366E+00 .6929E+00
.8730E+03 .1000E+01 .9309E+00 .4351E-01 .7351E+00 .6916E+00
.8740E+03 .9882E+00 .9199E+00 .4289E-01 .7264E+00 .6835E+00
.8750E+03 .9684E+00 .9009E+00 .4189E-01 .7113E+00 .6694E+00
.8760E+03 .9788E+00 .9098E+00 .4218E-01 .7182E+00 .6760E+00
.8770E+03 .9883E+00 .9199E+00 .4256E-01 .7260E+00 .6835E+00
.8780E+03 .1000E+01 .9285E+00 .4281E-01 .7326E+00 .6898E+00
.8790E+03 .9843E+00 .9145E+00 .4207E-01 .7215E+00 .6795E+00
.8800E+03 .9631E+00 .8956E+00 .4110E-01 .7065E+00 .6654E+00
