Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1028E+01 .9557E+00 .4942E-01 .9587E+00 .9092E+00
.8460E+03 .1022E+01 .9529E+00 .4926E-01 .9559E+00 .9066E+00
.8470E+03 .9989E+00 .9376E+00 .4852E-01 .9405E+00 .8920E+00
.8480E+03 .9979E+00 .9287E+00 .4767E-01 .9313E+00 .8836E+00
.8490E+03 .9699E+00 .9025E+00 .4620E-01 .9049E+00 .8587E+00
.8500E+03 .9282E+00 .8653E+00 .4422E-01 .8675E+00 .8233E+00
.8510E+03 .9888E+00 .9132E+00 .4629E-01 .9151E+00 .8688E+00
.8520E+03 .9794E+00 .9080E+00 .4601E-01 .9099E+00 .8639E+00
.8530E+03 .9379E+00 .8775E+00 .4458E-01 .8795E+00 .8349E+00
.8540E+03 .8137E+00 .7549E+00 .3804E-01 .7562E+00 .7182E+00
.8550E+03 .8884E+00 .8333E+00 .4218E-01 .8350E+00 .7928E+00
.8560E+03 .9733E+00 .9085E+00 .4571E-01 .9101E+00 .8644E+00
.8570E+03 .9913E+00 .9316E+00 .4696E-01 .9333E+00 .8864E+00
.8580E+03 .9854E+00 .9236E+00 .4635E-01 .9251E+00 .8787E+00
.8590E+03 .9843E+00 .9254E+00 .4641E-01 .9268E+00 .8804E+00
.8600E+03 .9845E+00 .9284E+00 .4653E-01 .9299E+00 .8833E+00
.8610E+03 .9797E+00 .9228E+00 .4609E-01 .9241E+00 .8780E+00
.8620E+03 .9943E+00 .9381E+00 .4678E-01 .9393E+00 .8925E+00
.8630E+03 .1018E+01 .9602E+00 .4775E-01 .9613E+00 .9135E+00
.8640E+03 .9666E+00 .9120E+00 .4524E-01 .9130E+00 .8677E+00
.8650E+03 .9578E+00 .9043E+00 .4475E-01 .9051E+00 .8603E+00
.8660E+03 .8612E+00 .8132E+00 .4014E-01 .8138E+00 .7737E+00
.8670E+03 .8986E+00 .8487E+00 .4178E-01 .8492E+00 .8074E+00
.8680E+03 .9777E+00 .9235E+00 .4536E-01 .9240E+00 .8786E+00
.8690E+03 .9572E+00 .9044E+00 .4431E-01 .9048E+00 .8605E+00
.8700E+03 .9843E+00 .9302E+00 .4546E-01 .9305E+00 .8850E+00
.8710E+03 .9710E+00 .9175E+00 .4471E-01 .9176E+00 .8729E+00
.8720E+03 .9673E+00 .9145E+00 .4446E-01 .9145E+00 .8700E+00
.8730E+03 .9653E+00 .9127E+00 .4427E-01 .9126E+00 .8684E+00
.8740E+03 .9538E+00 .9019E+00 .4363E-01 .9018E+00 .8581E+00
.8750E+03 .9347E+00 .8835E+00 .4261E-01 .8831E+00 .8405E+00
.8760E+03 .9447E+00 .8924E+00 .4291E-01 .8919E+00 .8490E+00
.8770E+03 .9539E+00 .9020E+00 .4329E-01 .9014E+00 .8581E+00
.8780E+03 .9652E+00 .9108E+00 .4355E-01 .9101E+00 .8666E+00
.8790E+03 .9501E+00 .8970E+00 .4279E-01 .8962E+00 .8535E+00
.8800E+03 .9296E+00 .8783E+00 .4181E-01 .8775E+00 .8357E+00
