Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1022E+01 .9512E+00 .4926E-01 .9631E+00 .9139E+00
.8460E+03 .1016E+01 .9484E+00 .4910E-01 .9603E+00 .9112E+00
.8470E+03 .9935E+00 .9331E+00 .4836E-01 .9448E+00 .8964E+00
.8480E+03 .9925E+00 .9244E+00 .4751E-01 .9356E+00 .8881E+00
.8490E+03 .9647E+00 .8983E+00 .4605E-01 .9091E+00 .8630E+00
.8500E+03 .9232E+00 .8613E+00 .4407E-01 .8715E+00 .8274E+00
.8510E+03 .9835E+00 .9090E+00 .4614E-01 .9194E+00 .8733E+00
.8520E+03 .9741E+00 .9038E+00 .4585E-01 .9142E+00 .8683E+00
.8530E+03 .9328E+00 .8734E+00 .4443E-01 .8835E+00 .8391E+00
.8540E+03 .8093E+00 .7513E+00 .3791E-01 .7597E+00 .7218E+00
.8550E+03 .8837E+00 .8294E+00 .4204E-01 .8388E+00 .7968E+00
.8560E+03 .9681E+00 .9043E+00 .4556E-01 .9143E+00 .8688E+00
.8570E+03 .9860E+00 .9272E+00 .4680E-01 .9376E+00 .8908E+00
.8580E+03 .9801E+00 .9192E+00 .4619E-01 .9293E+00 .8831E+00
.8590E+03 .9790E+00 .9209E+00 .4625E-01 .9310E+00 .8848E+00
.8600E+03 .9792E+00 .9240E+00 .4637E-01 .9341E+00 .8877E+00
.8610E+03 .9744E+00 .9184E+00 .4593E-01 .9282E+00 .8823E+00
.8620E+03 .9889E+00 .9336E+00 .4662E-01 .9435E+00 .8969E+00
.8630E+03 .1012E+01 .9555E+00 .4758E-01 .9656E+00 .9180E+00
.8640E+03 .9614E+00 .9076E+00 .4508E-01 .9171E+00 .8720E+00
.8650E+03 .9526E+00 .8999E+00 .4460E-01 .9092E+00 .8646E+00
.8660E+03 .8565E+00 .8092E+00 .4000E-01 .8175E+00 .7775E+00
.8670E+03 .8937E+00 .8446E+00 .4164E-01 .8530E+00 .8114E+00
.8680E+03 .9724E+00 .9190E+00 .4520E-01 .9282E+00 .8830E+00
.8690E+03 .9520E+00 .9000E+00 .4416E-01 .9088E+00 .8647E+00
.8700E+03 .9790E+00 .9257E+00 .4530E-01 .9347E+00 .8894E+00
.8710E+03 .9658E+00 .9130E+00 .4456E-01 .9217E+00 .8772E+00
.8720E+03 .9621E+00 .9100E+00 .4431E-01 .9186E+00 .8743E+00
.8730E+03 .9601E+00 .9083E+00 .4411E-01 .9167E+00 .8726E+00
.8740E+03 .9487E+00 .8976E+00 .4348E-01 .9058E+00 .8623E+00
.8750E+03 .9297E+00 .8792E+00 .4247E-01 .8871E+00 .8447E+00
.8760E+03 .9397E+00 .8880E+00 .4276E-01 .8959E+00 .8532E+00
.8770E+03 .9488E+00 .8976E+00 .4314E-01 .9055E+00 .8623E+00
.8780E+03 .9600E+00 .9064E+00 .4340E-01 .9143E+00 .8709E+00
.8790E+03 .9450E+00 .8927E+00 .4264E-01 .9003E+00 .8577E+00
.8800E+03 .9246E+00 .8741E+00 .4166E-01 .8814E+00 .8398E+00
